User ID	Joke ID	Rating
0	0	-7.82
0	1	8.79
0	2	-9.66
0	3	-8.16
0	4	-7.52
0	5	-8.5
0	6	-9.85
0	7	4.17
0	8	-8.98
0	9	-4.76
0	10	-8.5
0	11	-6.75
0	12	-7.18
0	13	8.45
0	14	-7.18
0	15	-7.52
0	16	-7.43
0	17	-9.81
0	18	-9.85
0	19	-9.85
0	20	-9.37
0	21	1.5
0	22	-4.37
0	23	-9.81
0	24	-8.5
0	25	1.12
0	26	7.82
0	27	2.86
0	28	9.13
0	29	-7.43
0	30	2.14
0	31	-4.08
0	32	-9.08
0	33	7.82
0	34	5.05
0	35	4.95
0	36	-9.17
0	37	-8.4
0	38	-8.4
0	39	-8.4
0	40	-8.11
0	41	-9.13
0	42	-9.03
0	43	-9.08
0	44	-7.14
0	45	-6.26
0	46	3.79
0	47	-0.1
0	48	3.93
0	49	4.13
0	50	-8.69
0	51	-7.14
0	52	3.2
0	53	8.3
0	54	-4.56
0	55	0.92
0	56	-9.13
0	57	-9.42
0	58	2.82
0	59	-8.64
0	60	8.59
0	61	3.59
0	62	-6.84
0	63	-9.03
0	64	2.82
0	65	-1.36
0	66	-9.08
0	67	8.3
0	68	5.68
0	69	-4.81
0	77	-9.42
0	81	-7.72
0	90	2.82
0	96	-5.63
1	0	4.08
1	1	-0.29
1	2	6.36
1	3	4.37
1	4	-2.38
1	5	-9.66
1	6	-0.73
1	7	-5.34
1	8	8.88
1	9	9.22
1	10	6.75
1	11	8.64
1	12	4.42
1	13	7.43
1	14	4.56
1	15	-0.97
1	16	4.66
1	17	-0.68
1	18	3.3
1	19	-1.21
1	20	0.87
1	21	8.64
1	22	8.35
1	23	9.17
1	24	0.05
1	25	7.57
1	26	4.71
1	27	0.87
1	28	-0.39
1	29	6.99
1	30	6.5
1	31	-0.92
1	32	7.14
1	33	9.03
1	34	-1.8
1	35	0.73
1	36	7.09
1	37	3.4
1	38	-0.87
1	39	7.91
1	40	7.82
1	41	-3.83
1	42	8.64
1	43	8.98
1	44	-4.32
1	45	-3.2
1	46	-4.9
1	47	-0.92
1	48	-1.46
1	49	3.64
1	50	3.16
1	51	9.03
1	52	0.97
1	53	-1.31
1	54	-6.5
